Rank,Author,Solved,Penalty,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012
302,"team0111 浙商大3队 浙江工商大学",3,06:44:57,,,,,,,,"02:57:21 (-4)",,00:51:07,01:36:29,
303,"team0262 我真的能拿牌子吗不如睡大觉 东北大学秦皇岛分校",3,06:59:22,,,,,,,,"01:43:20 (-1)",,01:30:52,03:25:10,
304,"team0162 宁波理工3队 浙大宁波理工学院",3,07:09:39,,,,,,,,01:45:46,,04:10:26,01:13:27,
305,"team0811 nbu3 宁波大学",3,07:11:51,,,,,,,,"01:56:47 (-2)",,04:00:40,00:34:24,
306,"team0446 NEU_Team04 东北大学",3,07:13:50,,,,03:07:27,,,,"01:39:25 (-1)",,"01:46:58 (-1)",(-1),
307,"team0910 2026杭电10队 杭州电子科技大学",3,07:14:02,,,,(-1),,(-3),,"01:12:49 (-2)",,"02:30:46 (-2)","01:30:27 (-2)",
308,"team0402 GXU-T4 广西大学",3,07:16:36,(-3),,,,,(-1),,03:10:17,,"02:04:00 (-1)","01:22:19 (-1)",
309,"team0152 ZJNU-4 浙江师范大学",3,07:18:39,,,,01:07:02,,,(-1),"02:44:05 (-1)",,03:07:32,,
310,"team0459 NEU_Team17 东北大学",3,07:23:31,,,,01:59:20,,,,"00:43:37 (-1)",,(-5),"03:00:34 (-4)",
311,"team0745 新建队伍（1） 哈尔滨工业大学（威海）",3,07:27:10,,,,"03:48:52 (-1)",,,,01:51:52,,"01:06:26 (-1)",,
312,"team0431 csu003 中南大学",3,07:28:03,,,,"04:18:56 (-1)",,,,(-8),,"00:43:41 (-1)","01:25:26 (-1)",
313,"team0753 山海寻径 青岛大学",3,07:35:40,,,,,,(-2),,01:27:35,,"04:46:52 (-2)",00:41:13,
314,"team0332 cumt5 中国矿业大学",3,07:43:11,,,,,,,,01:56:14,,"04:11:01 (-2)",00:55:56,
315,"team0595 提姆夫艾无 天津大学",3,07:53:17,,,,(-8),,,,01:48:09,,"03:42:43 (-3)",01:22:25,
316,"team0329 cumt2 中国矿业大学",3,07:54:03,,,,,,,,"01:54:04 (-2)",,04:31:36,00:48:23,
317,"team0399 队名wa2了 广西大学",3,07:55:48,,,,,,,,"01:58:44 (-2)",,04:11:49,01:05:15,
318,"team0002 小弱0网恋遇到女铁T 大连大学",3,07:58:37,,,,,,(-2),,"01:42:31 (-4)",,"02:00:03 (-3)","01:16:03 (-2)",
319,"team0161 宁波理工2队 浙大宁波理工学院",3,08:19:50,,,,,,,,02:50:36,,03:57:12,01:32:02,
320,"team0272 #define_int_long_long 中国地质大学（武汉）",3,08:21:52,,,,04:22:48,,,,"01:52:29 (-4)",,(-3),00:46:35,
321,"team0593 提姆思睿 天津大学",3,08:25:54,,,,04:06:40,,,,"02:30:36 (-1)",,,01:28:38,
322,"team0154 ZJNU-6 浙江师范大学",3,08:26:59,,,,"03:56:07 (-2)",,,,"01:38:25 (-1)",,,01:52:27,
323,"team0179 苏州大学1队 苏州大学",3,08:33:54,,,,(-4),,,,"03:08:28 (-1)",,"02:21:37 (-1)",02:23:49,
324,"team0025 净赚两块二毛二 河南农业大学",3,08:40:33,,,,,,,,02:30:08,,04:06:28,02:03:57,
325,"team0672 scmzu03 中南民族大学",3,08:41:43,,,,,,,,"02:24:31 (-3)",,"03:34:11 (-2)",01:03:01,
326,"team0117 打ACM但是AC不了只剩M 华东师范大学",3,08:43:53,,,(-2),"03:07:42 (-1)",,,(-2),,,01:21:21,03:54:50,
327,"team0496 打铁是你的谎言 北京理工大学",3,08:45:52,,,,00:52:55,,,,"03:51:33 (-4)",,"02:21:24 (-1)",,
328,"team0637 杭州育才6队 杭州育才中学",3,08:54:22,,,,,,,,03:54:26,,"01:08:24 (-1)",03:31:32,
329,"team0020 ZJUT3 浙江工业大学",3,08:56:53,,,,(-3),,,,"01:44:26 (-2)",,"03:32:40 (-2)",02:19:47,
330,"team0741 hziee1 杭州电子科技大学信息工程学院",3,08:57:21,,,,,,,,"04:29:14 (-1)",,02:31:20,01:36:47,
331,"team0132 我也要打杭电多校吗 中国计量大学",3,09:04:46,,,,,,,,"02:45:00 (-1)",,"04:02:09 (-1)",01:37:37,
332,"team0640 杭州育才9队 杭州育才中学",3,09:11:11,,,,(-10),,,,"04:17:33 (-2)",,"01:34:29 (-1)",02:19:09,
333,"team0803 技术三剑客 南开大学",3,09:17:10,,,,"02:09:14 (-1)",,,,"02:16:21 (-1)",,(-2),"03:31:35 (-2)",(-1)
334,"team0654 NJU-T04 南京大学",3,09:17:45,,,,,,,,03:17:24,,"04:13:42 (-1)",01:26:39,
335,"team0940 HKUST(GZ)005 香港科技大学",3,09:17:50,,,,(-4),,,,"03:59:53 (-6)",,"02:17:32 (-1)","00:20:25 (-1)",
336,"team0699 福建师范大学一队 福建师范大学",3,09:25:35,,,,,,,,"03:01:21 (-3)",,"03:39:35 (-2)",01:04:39,
337,"team0489 ecnu06 华东师范大学",3,09:26:56,,,,,,,,03:20:15,,04:01:50,02:04:51,
338,"team0818 nbu10 宁波大学",3,09:27:49,,,,03:15:57,,,,,,01:31:37,04:40:15,
339,"team0464 njupt26t04 南京邮电大学",3,09:29:02,,,,(-3),,(-3),,"00:41:46 (-4)",,"03:48:39 (-4)","01:38:37 (-2)",
340,"team0341 cuc01 中国传媒大学",3,09:31:02,,,,(-5),,,,"02:02:59 (-1)",,"03:20:59 (-2)","02:47:04 (-1)",
341,"team0786 星星之火 鲁东大学",3,09:37:54,,,,,,,,"02:45:42 (-3)",,04:47:49,01:04:23,
342,"team0199 静默铁甲机器人 长春理工大学",3,09:39:06,,,,(-2),,,,"03:49:13 (-4)",,03:23:19,01:06:34,
343,"team0639 杭州育才8队 杭州育才中学",3,09:39:09,,,,,,,,02:50:26,,"01:32:05 (-2)","04:16:38 (-1)",
344,"team0925 fduteam05 复旦大学",3,09:46:55,,,,(-7),,(-2),,"03:17:25 (-2)",,"02:30:53 (-1)",02:58:37,
345,"team0966 nbu12 宁波大学",3,09:48:09,,,,02:35:53,,,,"03:06:15 (-5)",,,"02:06:01 (-1)",
346,"team0671 scmzu02 中南民族大学",3,09:48:39,,,,,,,,"01:26:26 (-1)",,"04:24:59 (-4)","01:57:14 (-1)",
347,"team0358 HNUTEAM07 湖南大学",3,09:52:55,,,,,,,,"03:34:01 (-2)",,02:56:48,02:42:06,
348,"team0809 nbu1 宁波大学",3,09:54:06,"04:51:02 (-1)",,,,,,,"01:35:21 (-5)",,(-4),01:27:43,
349,"team0042 让我们AC吧 台州学院",3,09:58:33,,,,,,(-2),,"03:22:53 (-4)",,03:21:17,01:54:23,
350,"team0440 合肥工业大学166 合肥工业大学",3,10:03:01,,,,,,,,"04:06:56 (-5)",,"03:07:16 (-1)",00:48:49,
351,"team0061 哈吉利哟难买绿豆 四川吉利学院",3,10:06:34,,,,(-1),,,,02:30:47,,"04:03:45 (-3)","01:52:02 (-2)",
352,"team0448 NEU_Team06 东北大学",3,10:11:04,,,,04:49:05,,,,"01:17:05 (-1)",,(-2),03:44:54,
353,"team0692 这是一个队名 长沙理工大学",3,10:12:45,,,,,,,,"01:46:39 (-3)",,02:41:31,"04:04:35 (-2)",
354,"team0333 cumt6 中国矿业大学",3,10:16:00,,,,,,,,"04:11:31 (-5)",,02:13:16,"01:51:13 (-1)",
355,"team0714 菜吉互啄 吉林大学",3,10:19:21,,,,04:51:57,,,,,,03:02:01,02:25:23,
356,"team0169 山水树人 北京林业大学",3,10:20:16,,,,,,,,"01:46:54 (-2)",,"04:33:18 (-1)","02:20:04 (-2)",
357,"team0170 拿牌三条龙 北京林业大学",3,10:20:47,,,,,,,,"03:30:44 (-3)",,"02:09:27 (-1)",03:20:36,
358,"team0041 南蛮入侵 阿坝师范学院",3,10:20:53,,,,04:18:55,,,,"02:54:37 (-5)",,(-2),01:27:21,
359,"team0187 可持久化扫福瑞 中国传媒大学",3,10:20:57,,,,(-1),,,,"02:34:08 (-3)",,03:23:43,03:23:06,
360,"team0234 浙江财经大学2队 浙江财经大学",3,10:21:51,,,,"03:31:33 (-2)",,,,"01:27:20 (-1)",,(-4),04:22:58,
361,"team0454 NEU_Team12 东北大学",3,10:26:13,,,,(-10),,(-3),,"02:10:14 (-3)",,"04:53:05 (-1)",02:02:54,
362,"team0330 cumt3 中国矿业大学",3,10:28:17,,,,(-1),,,,"02:15:49 (-2)",,"03:39:33 (-5)",02:12:55,
363,"team0087 SSL06 东莞市东莞中学松山湖学校",3,10:28:59,,,,,,,03:37:58,"04:31:29 (-1)",,(-5),01:59:32,
364,"team0129 Deepsuck测试队 中国计量大学",3,10:32:27,,,,,,,,"04:02:58 (-5)",,"02:45:05 (-1)","01:24:24 (-1)",
365,"team0158 擢升 华中农业大学",3,10:32:34,,,,,,,,"02:04:23 (-2)",,"04:13:13 (-4)","01:14:58 (-3)",
366,"team0961 ZCMU01 浙江中医药大学",3,10:36:39,,,,04:26:33,,,,02:06:54,,"03:43:12 (-1)",,
367,"team0095 永远别放弃 北京邮电大学",3,10:37:01,,,,(-25),,"04:59:37 (-3)",,"02:17:25 (-4)",,(-4),00:59:59,
368,"team0648 教练也疯狂 温州医科大学",3,10:38:17,,,,,,,,01:47:51,,"02:53:39 (-1)","04:36:47 (-3)",
369,"team0200 明德博学求是创新 长春理工大学",3,10:47:20,,,,,,(-2),,"03:20:43 (-2)",,"04:05:12 (-3)","01:21:25 (-1)",
370,"team0033 无尽能源 山东理工大学",3,10:50:22,,,,,,,,"02:59:02 (-1)",,"04:32:21 (-3)",01:58:59,
371,"team0721 心如止水 吉林大学",3,10:53:42,,,,,,,,"04:50:22 (-1)",,"03:34:22 (-1)",01:48:58,
372,"team0709 时代码戏团 吉林大学",3,10:55:23,,,,"04:25:34 (-1)",,,,"01:47:20 (-2)",,,"02:22:29 (-4)",
373,"team0021 ZJUT4 浙江工业大学",3,11:03:19,,,,,,,,"03:12:04 (-4)",,"04:32:47 (-3)",00:58:28,
374,"team0099 重生之忘带前世记忆打acm 北京邮电大学",3,11:06:37,,,,,,,,"02:14:00 (-2)",,"04:25:15 (-6)",01:47:22,
375,"team0098 超时空代码姬 北京邮电大学",3,11:08:17,,,,,,,,01:05:22,,"04:50:00 (-6)",03:12:55,
376,"team0733 南昌理工学院1队 南昌理工学院",3,11:08:48,,,,,,,,"02:46:16 (-5)",,"03:44:17 (-7)",00:38:15,
377,"team0436 zafu2 浙江农林大学",3,11:11:58,,,,,,,,02:03:13,,04:30:44,"03:58:01 (-2)",
378,"team0449 NEU_Team07 东北大学",3,11:14:05,,,,04:31:27,,,,"02:25:22 (-2)",,(-15),"02:57:16 (-2)",
379,"team0468 njupt26t08 南京邮电大学",3,11:15:19,,,,"04:39:28 (-2)",,,,03:57:47,,01:58:04,(-4),
380,"team0037 我们真的能骗到报销吗 安徽大学",3,11:16:13,,,,"04:39:22 (-2)",,,,"02:26:09 (-2)",,(-7),02:50:42,
381,"team0583 UESTC-3队 电子科技大学",3,11:23:30,,,,03:36:40,,,,"03:43:25 (-3)",,"02:43:25 (-1)",(-4),
382,"team0076 中航大4队 中国民航大学",3,11:24:37,,,,,,,,"04:30:00 (-2)",,02:49:35,03:25:02,
383,"team0378 青科二队 青岛科技大学",3,11:25:55,,,,,,,,"04:10:22 (-3)",,"03:04:20 (-1)",02:51:13,
384,"team0073 中航大1队 中国民航大学",3,11:29:22,,,,(-1),,,,02:20:21,,"04:45:31 (-2)",03:43:30,
385,"team0372 雪月花 南昌大学",3,11:31:17,,,,"04:13:08 (-1)",,,,"01:34:23 (-1)",,"02:23:46 (-8)",(-2),
386,"team0719 前有绝景 吉林大学",3,11:33:11,,,,(-2),,,,"04:15:45 (-6)",,"03:10:06 (-1)",01:47:20,
387,"team0713 我也要AC吗 吉林大学",3,11:35:50,,,,04:22:54,,(-3),,"03:43:47 (-3)",,"02:09:09 (-1)",(-2),
388,"team0106 鹰号 山东科技大学",3,11:37:19,,,,,,,"04:59:21 (-1)","02:11:46 (-4)",,,02:46:12,
389,"team0820 超时喵限 大连海事大学",3,11:38:48,,,,,,,,"01:26:09 (-2)",,"03:46:27 (-6)",03:46:12,
390,"team0064 WMU-1 温州医科大学",3,11:41:12,,,,"03:35:41 (-1)",,,,"02:26:57 (-2)",,"03:18:34 (-4)",,
391,"team0235 浙江财经大学3队 浙江财经大学",3,11:48:20,,,(-2),,,,04:08:16,"02:59:40 (-4)",,,03:20:24,
392,"team0579 YWZX09 义乌中学",3,11:48:20,,,,"04:06:19 (-3)",,,,"02:31:42 (-4)",,(-1),02:50:19,
393,"team0474 njupt26t14 南京邮电大学",3,11:49:43,,,,,,,,"03:33:33 (-3)",,04:42:47,02:33:23,
394,"team0352 HNUTEAM01 湖南大学",3,11:53:04,,(-4),,04:57:51,,(-5),,03:06:43,,(-9),03:48:30,(-4)
395,"team0855 ZJNU-7 浙江师范大学",3,11:57:16,,,,"04:20:33 (-4)",,(-3),,"02:26:33 (-3)",,(-2),"02:30:10 (-1)",
396,"team0465 njupt26t05 南京邮电大学",3,12:01:22,,,,,,,,"02:12:05 (-4)",,"04:34:22 (-4)",02:34:55,
397,"team0182 苏州大学4队 苏州大学",3,12:17:48,,,,04:08:32,,,,,,04:17:33,"03:11:43 (-2)",
398,"team0032 夜航星 山东理工大学",3,12:20:07,,,,(-5),,,,"03:15:15 (-1)",,"03:54:23 (-9)","01:30:29 (-1)",
399,"team0344 点击输入队名 河南工业大学",3,12:21:50,,,,"04:14:48 (-4)",,,,"03:04:41 (-6)",,01:42:21,,
400,"team0452 NEU_Team10 东北大学",3,12:23:46,,,(-1),,,,,"01:41:03 (-4)",,"04:33:49 (-9)",01:48:54,
401,"team0432 csu004 中南大学",3,12:24:18,,,,(-26),,(-1),,"01:38:45 (-2)",,"03:52:09 (-9)","02:53:24 (-1)",
402,"team0180 苏州大学2队 苏州大学",3,12:27:57,,,,,,,,"03:17:18 (-6)",,"04:21:01 (-3)",01:49:38,
403,"team0988 *** 西南科技大学",3,12:42:46,,,,,,,(-1),"04:19:57 (-6)",,02:57:53,03:24:56,
404,"team0453 NEU_Team11 东北大学",3,12:43:17,(-2),,,,,(-1),,"03:09:06 (-14)",,"03:08:42 (-1)","01:05:29 (-1)",
405,"team0899 厦大七队 厦门大学",3,12:44:15,,,,(-1),,,,"04:48:36 (-14)",,02:07:24,"00:48:15 (-1)",
406,"team0430 csu002 中南大学",3,12:50:54,,,,,,,,"02:44:40 (-6)",,"04:21:13 (-5)","01:25:01 (-2)",
407,"team0752 无意义队名 个人训练",3,12:52:43,,,,,,,,03:30:25,,"04:54:58 (-4)","02:47:20 (-1)",
408,"team0131 西红柿炒番茄 中国计量大学",3,13:01:25,,,,,,,,"04:43:56 (-3)",,"04:57:27 (-1)",02:00:02,
409,"team0964 jcsteam 济宁孔子学校",3,13:02:58,,,,"04:28:58 (-7)",,,,"01:55:33 (-2)",,(-12),"02:38:27 (-3)",
410,"team0225 南大软院1队 南昌大学",3,13:03:14,,,,,,,,"03:56:26 (-2)",,04:51:15,"03:15:33 (-1)",
411,"team0022 ZJUT5 浙江工业大学",3,13:08:12,,,,,,,"03:01:04 (-1)","04:30:23 (-6)",,,03:16:45,
412,"team0411 CUIT08 成都信息工程大学",3,13:26:32,,,,,,,04:36:16,"02:48:17 (-10)",,(-5),"01:41:59 (-3)",
413,"team0120 XJU新生二队 新疆大学",3,13:44:39,,,,,,,"03:41:31 (-1)","03:32:34 (-6)",,04:10:34,(-6),
414,"team0847 北化6队 北京化工大学",3,13:49:18,,,,,,,,"04:36:19 (-7)",,01:29:58,"02:23:01 (-9)",
415,"team0373 再交一次就AC 南昌大学",3,14:01:43,,,,,,,,"04:37:08 (-2)",,03:56:11,04:48:24,
416,"team0349 彩虹猫猫头 南京理工大学",3,14:06:10,,,,04:35:36,,(-3),,"03:46:00 (-6)",,"03:24:34 (-1)",(-3),
417,"team0047 组一辈子乐队 天津工业大学",3,14:24:57,,,,,,04:03:58,,04:30:25,,,"04:30:34 (-4)",
418,"team0168 符文编译法则 北京林业大学",3,14:32:29,,,,,,,,"04:12:08 (-7)",,"04:56:05 (-4)",01:44:16,
419,"team0193 刻板印象 湖南师范大学",3,14:41:00,,,,04:40:27,,,,"04:07:57 (-3)",,"03:12:36 (-5)",(-3),
420,"team0245 NUIST_禁忌魔典 南京信息工程大学",3,14:45:51,,,,,,,,"03:40:21 (-7)",,04:50:18,"02:55:12 (-3)",
421,"team0718 随缘AC 吉林大学",3,14:53:05,(-1),,,,,,,"04:42:28 (-7)",,"03:51:46 (-1)",03:38:51,
422,"team0172 藍二橋 重庆邮电大学",3,14:55:38,,,,,,,04:55:11,"04:43:18 (-5)",,(-1),"02:57:09 (-2)",
423,"team0058 三条区花两天想一个队名结果输出〇个字 安徽大学",3,15:00:17,,,,,,,,"02:34:17 (-5)",,"04:26:13 (-3)","04:59:47 (-1)",
424,"team0736 南昌理工学院4队 南昌理工学院",3,15:08:07,,(-1),,,,,,"04:39:46 (-9)",,"02:54:27 (-1)",04:13:54,
425,"team0236 浙江财经大学4队 浙江财经大学",3,15:09:33,,,,,,,,"03:38:10 (-2)",,"04:57:48 (-4)","03:53:35 (-2)",
426,"team0879 NUAA07 南京航空航天大学",3,15:44:30,,,,,,,,"03:26:27 (-11)",,"04:26:07 (-1)","02:31:56 (-4)",
427,"team0469 njupt26t09 南京邮电大学",3,16:30:21,,,,(-1),,,,"04:00:04 (-16)",,"03:24:11 (-1)",03:26:06,
428,"team0280 我也要写大模拟这对吗 南京理工大学",3,18:56:25,,,,,,(-3),,"04:34:09 (-2)",,"04:10:27 (-11)","04:11:49 (-5)",
429,"team0125 绍大一队 绍兴大学",2,01:49:59,,,,,,,,01:19:26,,,00:30:33,
430,"team0093 疑似mygo 北京邮电大学",2,02:30:50,,,,(-6),,,,"01:10:40 (-1)",,(-5),01:00:10,
431,"team0374 Loschen 南昌大学",2,02:43:28,,,,(-6),,(-1),,"01:43:16 (-1)",,(-3),00:40:12,
432,"team0528 绍一3队 绍兴市第一中学",2,02:51:34,,,,,,,,01:55:49,,00:55:45,,
433,"team0835 Dango 河南农业大学",2,02:57:38,,,,,,,,"01:49:02 (-1)",,,00:48:36,
434,"team0842 北化1队 北京化工大学",2,03:00:13,,,,,,(-1),,01:45:52,,(-5),01:14:21,
435,"team0675 这个真好吃nya 浙江科技大学",2,03:19:04,,,,(-2),,,,"01:36:40 (-1)",,(-1),"01:02:24 (-1)",
436,"team0282 绝对暴力 南京邮电大学通达学院",2,03:24:43,,,,,,,,,,01:45:02,01:39:41,
437,"team0723 教练说不拿金牌就延毕 云南大学",2,03:41:43,,,,,,,,,,02:15:05,01:26:38,
438,"team0944 HKUST(GZ)009 香港科技大学",2,03:52:55,,,,,,,,(-5),,03:10:20,00:42:35,
439,"team0189 不对也队 中国传媒大学",2,03:55:16,,,,,,,,"01:33:44 (-1)",,(-8),02:01:32,
440,"team0040 LHW 山东大学",2,04:05:31,,,,,,(-2),,02:44:50,,,01:20:41,
441,"team0261 曼波大战哈姆莱特 东北大学秦皇岛分校",2,04:16:45,,,,,,,,"02:30:00 (-2)",,(-3),"00:46:45 (-1)",
442,"team0350 SSL08 东莞市东莞中学松山湖学校",2,04:17:04,,,,,,,,"02:26:59 (-1)",,(-2),01:30:05,
443,"team0455 NEU_Team13 东北大学",2,04:23:51,,,,(-3),,,,"02:32:35 (-3)",,(-5),00:51:16,
444,"team0883 NUAA11 南京航空航天大学",2,04:29:21,,,,,,,,"02:42:39 (-1)",,,01:26:42,
445,"team0030 EOF 山东理工大学",2,04:32:36,,,,(-9),,(-1),,"02:39:20 (-2)",,(-3),01:13:16,
446,"team0965 nbu11 宁波大学",2,04:33:40,,,,,,,,,,02:40:18,01:53:22,
447,"team0838 dyh 江西理工大学",2,04:35:00,,,,,,,,"02:55:38 (-2)",,,00:59:22,
448,"team0466 njupt26t06 南京邮电大学",2,04:35:18,,,,,,,,"02:37:09 (-1)",,,01:38:09,
449,"team0711 没想好叫什么 吉林大学",2,04:36:07,,,,,,(-1),,"03:08:00 (-1)",,(-2),01:08:07,
450,"team0882 NUAA10 南京航空航天大学",2,04:47:59,,,,,,,,"01:41:20 (-1)",,,02:46:39,
451,"team0948 DC三虾米 绵阳东辰学校",2,04:51:11,,,,,,,(-1),"02:04:30 (-3)",,01:46:41,(-5),
452,"team0834 吉伊卡哇 河南农业大学",2,04:56:46,,,(-2),,,,,"02:25:41 (-3)",,,01:31:05,
453,"team0208 湘潭大学3队 湘潭大学",2,05:05:39,,,,,,,,01:11:06,,(-6),"03:34:33 (-1)",
454,"team0086 SSL05 东莞市东莞中学松山湖学校",2,05:11:13,(-3),,,(-2),,,,02:54:48,,(-4),02:16:25,
455,"team0467 njupt26t07 南京邮电大学",2,05:12:27,,,,,,(-2),,04:00:18,,,01:12:09,
456,"team0029 此队伍未通过人机验证 广东东软学院",2,05:13:09,,,,"03:06:09 (-2)",,,,(-15),,"01:07:00 (-1)",,
457,"team0679 哦齁齁齁 浙江科技大学",2,05:13:20,,,,,,,,03:22:34,,,01:50:46,
458,"team0457 NEU_Team15 东北大学",2,05:23:52,,,,,,,,"02:37:58 (-2)",,(-1),02:05:54,
459,"team0205 我爱玩迷你世界 东华理工大学",2,05:27:29,,,,,,,,"02:16:58 (-4)",,(-3),01:50:31,
460,"team0260 傲娇白毛萝莉 东北大学秦皇岛分校",2,05:30:20,,,,,,(-8),,"02:20:11 (-1)",,(-4),"02:30:09 (-1)",
461,"team0909 2026杭电9队 杭州电子科技大学",2,05:36:31,,,,,,(-5),,"01:47:38 (-2)",,"02:48:53 (-1)",,
462,"team0482 njupt26t22 南京邮电大学",2,05:41:44,(-1),,,,,,,"03:17:15 (-1)",,(-2),"01:44:29 (-1)",
463,"team0057 下水道疏通半小时上门 宁波财经学院",2,05:42:04,,,,,,,,"02:51:29 (-3)",,01:50:35,,
464,"team0732 两个摆子也能打ACM吗 重庆大学",2,05:42:55,,,,,,,,,,03:04:07,"02:18:48 (-1)",
465,"team0166 BFBOYS 北京林业大学",2,05:47:41,(-1),,,,,(-5),,"01:55:00 (-4)",,(-5),02:32:41,
466,"team0188 奶界最忧郁之龙 中国传媒大学",2,06:07:30,,,,,,(-3),,02:41:37,,(-3),03:25:53,
467,"team0195 猪璧联合 佛山大学",2,06:12:32,,,,(-3),,,,"03:21:27 (-2)",,,02:11:05,
468,"team0401 GXU-T3 广西大学",2,06:18:39,,,,,,,,"03:28:47 (-5)",,,01:09:52,
469,"team0130 咕咕嘎嘎遇不到学姐 中国计量大学",2,06:21:39,,,,,,,,"03:03:16 (-5)",,(-3),"01:18:23 (-1)",
470,"team0351 SSL09 东莞市东莞中学松山湖学校",2,06:21:41,,,,(-1),,,,(-4),,"04:57:08 (-2)",00:44:33,
471,"team0043 声声man 台州学院",2,06:22:52,,,,,,(-1),,03:52:53,,02:29:59,(-11),
472,"team0866 SHU04 上海大学",2,06:25:32,,,,,,,,"01:22:53 (-1)",,"04:02:39 (-2)",(-6),
473,"team0185 嗷呜呜呜 中国传媒大学",2,06:26:45,,,,,,,,03:37:21,,(-1),02:49:24,
474,"team0663 NJU-T13 南京大学",2,06:35:20,,,,,,,,"02:28:41 (-1)",,"03:06:39 (-2)",,
475,"team0412 徐州工程学院一队 徐州工程学院",2,06:36:44,,,,,,,,"02:02:07 (-1)",,04:14:37,(-1),
476,"team0024 ZJUT7 浙江工业大学",2,06:36:55,,,,,,,,"03:06:29 (-6)",,(-4),01:30:26,
477,"team0019 ZJUT2 浙江工业大学",2,06:38:59,,,,,,,,"01:44:04 (-3)",,03:54:55,(-2),
478,"team0078 中航大6队 中国民航大学",2,06:42:48,,,,(-3),,,,03:20:48,,03:22:00,(-1),
479,"team0274 Just_for_fun 中国地质大学（武汉）",2,06:46:03,,,,,,,,(-8),,03:47:57,"01:58:06 (-3)",
480,"team0388 丽水学院5 丽水学院",2,06:48:30,,,,,,,,04:36:26,,,02:12:04,
481,"team0754 deepsleep 上海师范大学",2,06:51:55,,,,,,,,02:49:51,,04:02:04,(-2),
482,"team0420 HZCU06 浙大城市学院",2,06:53:14,,,,,,,,03:02:25,,(-2),"03:30:49 (-1)",
483,"team0933 Designant 成都锦城学院",2,06:57:26,,,,,,,,03:06:36,,,03:50:50,
484,"team0104 丽水学院3 丽水学院",2,06:58:31,,,,,,,,04:13:58,(-2),(-2),02:44:33,
485,"team0257 男人一生只wa十八次 中国地质大学（北京）",2,07:04:39,,,,,,,,,,03:16:50,"03:27:49 (-1)",
486,"team0755 请输入文本 北京邮电大学",2,07:06:36,,,,,,,,"02:32:14 (-2)",,,03:54:22,
487,"team0812 nbu4 宁波大学",2,07:16:15,(-2),,,,,,,,,"03:20:01 (-1)","03:16:14 (-1)",
488,"team0487 ecnu04 华东师范大学",2,07:30:45,,,,,,,,"02:33:21 (-2)",,"03:57:24 (-1)",,
489,"team0739 南昌理工学院7队 南昌理工学院",2,07:34:34,,,,,,,04:37:18,(-5),,02:57:16,(-3),
490,"team0492 只有样例全队 北京理工大学",2,07:35:56,,,,,,,,"03:48:52 (-6)",,(-1),01:47:04,
491,"team0486 ecnu03 华东师范大学",2,07:36:08,,,,,,,,,,04:56:10,02:39:58,
492,"team0115 哎哎我告诉你个秘密哎 华东师范大学",2,07:40:18,,,,,,,,"04:15:25 (-4)",,(-4),02:04:53,
493,"team0852 zafu7 浙江农林大学",2,07:41:24,,,,,,(-1),,(-7),,04:42:37,02:58:47,
494,"team0960 加油努力 东华理工大学",2,07:41:45,,,,,,,,(-2),,"02:44:09 (-3)",03:57:36,
495,"team0081 涉大一队 湖南涉外经济学院",2,07:42:10,,,,,,,,"02:32:27 (-3)",,"03:49:43 (-1)",,
496,"team0734 南昌理工学院2队 南昌理工学院",2,07:42:21,,,,,,(-1),,01:49:53,,,"04:52:28 (-3)",
497,"team0832 htu001 河南师范大学",2,07:43:20,,,,,,,,"02:40:29 (-1)",,(-2),04:42:51,
