Rank,Author,Solved,Penalty,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012
498,"team0159 拿到属于我们的一切 山东财经大学",2,07:45:59,,,,,,,,"03:25:04 (-1)",,(-2),"03:40:55 (-1)",
499,"team0527 绍一2队 绍兴市第一中学",2,07:46:18,"03:25:49 (-2)",,,,,,,"03:00:29 (-2)",,(-2),(-6),
500,"team0720 告白氧球 吉林大学",2,07:47:47,,,,,,,,,,"04:04:30 (-6)",01:43:17,
501,"team0237 NUIST_铁甲战士 南京信息工程大学",2,07:47:49,,,,,,,,(-4),,04:17:48,03:30:01,
502,"team0339 意如计网1队 中国传媒大学",2,07:52:51,,,,,,,,03:25:07,,(-2),04:27:44,
503,"team0815 nbu7 宁波大学",2,08:01:13,,,,(-4),,,,"03:46:33 (-4)",,,"02:14:40 (-2)",
504,"team0673 scmzu04 中南民族大学",2,08:04:26,,,,,,,,,,"04:31:51 (-4)",02:12:35,
505,"team0045 #include<队友的脑子> 天津工业大学",2,08:04:52,,,,,,,,,,03:16:29,"04:28:23 (-1)",
506,"team0437 zafu3 浙江农林大学",2,08:05:50,(-7),,,,,(-2),,"04:06:37 (-4)",,02:39:13,,
507,"team0856 粑粑超人 沈阳理工大学",2,08:09:45,,,,,,,,"01:34:08 (-4)",,"03:55:37 (-4)",,
508,"team0049 赶紧起个神秘队名 天津工业大学",2,08:11:40,,,,,,,,"03:23:50 (-2)",,(-8),04:07:50,
509,"team0328 cumt1 中国矿业大学",2,08:12:30,,,,,,,,"02:21:07 (-6)",,03:51:23,,
510,"team0846 北化5队 北京化工大学",2,08:13:26,,,,,,,,,,"02:37:59 (-2)",04:55:27,
511,"team0165 菜园1队 湖南财政经济学院",2,08:14:37,,,,,,,,"02:41:05 (-1)",,(-3),"04:13:32 (-3)",
512,"team0715 编C++编的 吉林大学",2,08:15:42,,,,,,,,"03:35:02 (-1)",,,04:20:40,
513,"team0314 华附9队 华南师范大学附属中学",2,08:21:02,,(-3),,,,,,,,04:38:25,03:42:37,
514,"team0198 雷神天明闪 长春理工大学",2,08:21:12,,,,,,(-3),,"03:53:01 (-11)",,(-1),00:48:11,
515,"team0708 抉择，抉择 吉林大学",2,08:24:13,,,,,,"02:44:16 (-3)",,"03:19:57 (-4)",,(-2),,
516,"team0167 不知道啊样例明明过了 北京林业大学",2,08:24:15,,,,,,,,(-2),,03:25:04,04:59:11,
517,"team0689 njusz04 南京大学苏州校区",2,08:24:33,,,,04:56:37,,,,03:27:56,,,,
518,"team0310 华附5队 华南师范大学附属中学",2,08:24:49,,,,"04:56:02 (-3)",,,,,,,"02:08:47 (-1)",
519,"team0046 SolarFlare 天津工业大学",2,08:28:23,,,,,,,,,,04:09:06,04:19:17,
520,"team0400 GXU-T2 广西大学",2,08:31:21,,,,,,,,"03:27:17 (-1)",,,04:44:04,
521,"team0392 HNUCM-Team3 湖南中医药大学",2,08:38:05,,(-1),,,,,,"04:48:02 (-3)",,,"02:30:03 (-1)",
522,"team0724 '/u200e' 云南大学",2,08:47:06,,,,,,,,"03:22:26 (-1)",,"04:24:40 (-2)",,
523,"team0384 小清华也是清华 南阳理工学院",2,08:48:04,,,,,,,,03:15:39,,,"04:52:25 (-2)",
524,"team0869 SHU07 上海大学",2,08:53:35,,,,"04:15:07 (-2)",,(-1),,,,"03:38:28 (-1)",,
525,"team0594 提姆佛奥 天津大学",2,09:00:41,,,,,,,,"04:30:52 (-4)",,03:09:49,,
526,"team0911 2026杭电11队 杭州电子科技大学",2,09:03:14,,,,(-1),,,,"02:14:07 (-2)",,"04:29:07 (-5)",(-3),
527,"team0416 HZCU02 浙大城市学院",2,09:04:08,,,,(-5),,,,02:24:21,,,"04:59:47 (-5)",
528,"team0892 零基础老登10086队 东华理工大学",2,09:07:10,,,,,,,,"02:51:12 (-3)",,"04:35:58 (-2)",(-3),
529,"team0112 今晚吃什么 华东师范大学",2,09:12:12,,,,,,,,"03:44:21 (-2)",,04:47:51,,
530,"team0994 nbu14 宁波大学",2,09:25:32,,,,,,,,"03:37:15 (-7)",,,03:28:17,
531,"team0026 非遗传承人 东北林业大学",2,09:33:07,,,,(-1),,(-2),,"04:02:14 (-1)",,"03:50:53 (-4)",,
532,"team0249 贪吃猫猫头 南京理工大学",2,09:36:56,,,,,,,,"04:13:39 (-9)",,"02:03:17 (-1)",,
533,"team0967 nbu13 宁波大学",2,09:38:08,,,,,,,,"03:17:50 (-14)",,,01:40:18,
534,"team0011 一笑了之 宁夏大学",2,09:55:47,,,,,,(-2),,"02:19:55 (-2)",,,"04:55:52 (-6)",
535,"team0864 SHU02 上海大学",2,10:00:20,,,,,,,,"04:35:16 (-6)",,(-1),"02:05:04 (-4)",
536,"team0848 北化7队 北京化工大学",2,10:05:26,,(-1),,,,,,,,04:50:50,"03:34:36 (-5)",
537,"team0406 CUIT03 成都信息工程大学",2,10:08:12,,,,,,,,"04:08:09 (-6)",,(-1),04:00:03,
538,"team0066 南苑一队 河南工程学院",2,10:08:58,,,,,,,,,,"04:57:39 (-1)",04:51:19,
539,"team0279 经验加三 中国地质大学（武汉）",2,10:14:32,,,,,,,,"04:30:24 (-10)",,,"02:04:08 (-1)",
540,"team0480 njupt26t20 南京邮电大学",2,10:16:44,(-3),,,,,(-1),,,,"04:32:08 (-6)",03:44:36,
541,"team0898 厦大六队 厦门大学",2,10:24:34,,,,03:52:17,,,,"02:52:17 (-11)",,(-3),,
542,"team0849 今日不卡题 华南农业大学",2,10:25:39,,,,,,,,"03:47:56 (-7)",,,"02:57:43 (-4)",
543,"team0291 北方工业大学2队 北方工业大学",2,10:57:19,,,,,,,,"04:58:25 (-7)",,(-2),03:38:54,
544,"team0254 榜多力：一次埋够!!!!! 中国地质大学（北京）",2,10:58:57,,,,,,,,04:52:16,,"04:26:41 (-5)",(-3),
545,"team0439 zafu5 浙江农林大学",2,11:06:32,,,,,,,,"03:06:51 (-1)",,"04:19:41 (-10)",(-4),
546,"team0157 凭什么遗憾留给我 华中农业大学",2,11:11:58,,,,,,,,"01:58:18 (-3)",,(-15),"03:53:40 (-13)",
547,"team0471 njupt26t11 南京邮电大学",2,11:16:58,,,,,,,,"02:18:47 (-9)",,"04:18:11 (-5)",(-1),
548,"team0700 无双 南京理工大学",2,13:30:38,,,,,,,,"04:43:56 (-13)",,(-2),04:26:42,
549,"team0751 成都大学1队 成都大学",2,13:32:04,,,,,,,,"04:01:41 (-9)",,"04:30:23 (-6)",,
550,"team0269 hpu1 河南理工大学",2,13:48:14,,,,,,,,"03:42:51 (-14)",,"04:45:23 (-2)",,
551,"team0398 不抛弃不放弃【花】【花】【花】 华中农业大学",2,16:19:48,,,,,,,,"03:25:34 (-22)",,,"03:54:14 (-5)",
552,"team0476 njupt26t16 南京邮电大学",1,00:33:13,,,,,,,,,,,00:33:13,
553,"team0390 HNUCM-Team1 湖南中医药大学",1,00:39:08,,,,,,,,(-1),,(-6),00:39:08,
554,"team0317 华附12队 华南师范大学附属中学",1,00:40:15,,,,,,,,,,"00:20:15 (-1)",,
555,"team0213 HITS003 哈尔滨工业大学",1,00:40:31,,,,,,,,,,,00:40:31,
556,"team0860 NJU-T19 南京大学",1,00:43:49,,,,,,,,,,00:43:49,,
557,"team0176 湖州师大3队 湖州师范大学",1,00:48:14,,,,,,,,,,,00:48:14,
558,"team0293 BHU-T1 北华大学",1,01:01:24,,,,,,,,,,,01:01:24,
559,"team0253 马嘉炮的祺友 南京农业大学",1,01:03:08,,,,,,,,(-3),,,01:03:08,
560,"team0853 zafu8 浙江农林大学",1,01:10:00,,,,,,,,(-6),,(-2),01:10:00,
561,"team0414 庐州月光洒在心上 安徽农业大学",1,01:12:54,,,,,,,,,,,01:12:54,
562,"team0275 不时轻声地以AC遮羞的邻座的爱音同学 中国地质大学（武汉）",1,01:13:11,,,,,,,,01:13:11,,,,
563,"team0355 HNUTEAM04 湖南大学",1,01:15:32,,,,,,,,(-5),,,01:15:32,
564,"team0871 SHU09 上海大学",1,01:18:42,,,,,,,,(-3),,01:18:42,(-10),
565,"team0247 But_one_day 西安理工大学",1,01:21:03,,,,(-3),,,,(-2),,01:21:03,,
566,"team0680 言语人类懂不看 浙江科技大学",1,01:22:15,,,,,,,,(-2),,,01:22:15,
567,"team0369 CDNU-1 成都师范学院",1,01:31:12,,,,,,,,,,01:31:12,,
568,"team0241 NUIST_故障机器人 南京信息工程大学",1,01:32:59,,,,,,,,,,,01:32:59,
569,"team0156 C6H8O6 长春理工大学",1,01:40:12,,,,,,,,,,,01:40:12,
570,"team0052 达妮娅舞步旋 南京农业大学",1,01:44:27,,,,,,,,,,,01:44:27,
571,"team0023 ZJUT6 浙江工业大学",1,01:47:06,,,,,,,,01:47:06,,(-4),,
572,"team0456 NEU_Team14 东北大学",1,01:49:17,(-3),,01:49:17,(-1),,,,(-8),,,(-3),
573,"team0035 暴力能解绝不优化 东北师范大学",1,01:49:51,,,,,,,,"00:49:51 (-3)",,(-3),(-2),
574,"team0577 YWZX07 义乌中学",1,01:56:53,,,,(-1),,,,"01:36:53 (-1)",,,,
575,"team0638 杭州育才7队 杭州育才中学",1,02:00:53,,,,,,,,"01:20:53 (-2)",,(-2),,
576,"team0992 再不给AC我们就上AI了 北师香港浸会大学",1,02:05:02,,,,,,,,"01:25:02 (-2)",,,,
577,"team0393 罚时 湖南农业大学",1,02:06:55,,,,,,,,02:06:55,,(-2),,
578,"team0074 中航大2队 中国民航大学",1,02:07:52,,,,(-6),,,,"01:27:52 (-2)",,(-2),(-5),
579,"team0359 HNUTEAM08 湖南大学",1,02:08:31,,(-1),,,,,,02:08:31,,,(-3),
580,"team0490 开心超人队 重庆第二师范学院",1,02:10:05,,,,,,,,(-1),,(-2),02:10:05,
581,"team0013 取名好难 广东工业大学",1,02:10:14,,,,,,,,02:10:14,,,,
582,"team0379 她会回来吗 南阳理工学院",1,02:13:12,,,,,,,,"01:53:12 (-1)",,(-4),,
583,"team0068 南苑三队 河南工程学院",1,02:14:11,,,,,,,,,,,02:14:11,
584,"team0228 南大软院4队 南昌大学",1,02:18:48,,,,,,,,02:18:48,,,,(-1)
585,"team0850 拼多多 大连海事大学",1,02:23:12,,,,,,,,,,,02:23:12,
586,"team0001 逐花归海 上海工程技术大学",1,02:28:18,,,,,,,,,,,02:28:18,
587,"team0868 SHU06 上海大学",1,02:28:27,,,,,,,,,,(-3),"02:08:27 (-1)",
588,"team0485 ecnu02 华东师范大学",1,02:34:27,,,,(-3),,,,(-2),,,"02:14:27 (-1)",
589,"team0824 古法编程非遗传承人 华中科技大学",1,02:37:04,,,,,,,,,,,"02:17:04 (-1)",
590,"team0134 选择困难症 西南财经大学",1,02:37:50,,,,,,,,"01:57:50 (-2)",,(-3),,
591,"team0596 提姆思诶可思 天津大学",1,02:38:08,,,,,,,,(-8),,,02:38:08,
592,"team0947 BurgerKing队 绵阳东辰学校",1,02:39:10,,,,,,,,"01:59:10 (-2)",,,(-3),
593,"team0191 四队 中国传媒大学",1,02:41:43,,,,,,,,02:41:43,,(-4),,
594,"team0100 ClosedClaw 北京邮电大学",1,02:43:43,,,,,,,,"02:23:43 (-1)",,(-1),,
595,"team0067 南苑二队 河南工程学院",1,02:48:40,,,,,,,,,,,02:48:40,
596,"team0044 “代码对不”队 天津工业大学",1,02:50:00,,,,,,,,,,,02:50:00,
597,"team0207 湘潭大学2队 湘潭大学",1,02:51:51,,,,,,,,"02:31:51 (-1)",,(-5),,
598,"team0246 NUIST_偏差认知 南京信息工程大学",1,02:56:05,,,,,,,,,,,02:56:05,
599,"team0413 徐州工程学院二队 徐州工程学院",1,02:56:45,(-3),,,02:56:45,,,,,,(-1),,
600,"team0890 你愿意陪我去看海吗 河北科技师范学院",1,02:57:52,,,,,,,,,,,"02:37:52 (-1)",
601,"team0397 SUSE-TOTOP 四川轻化工大学",1,02:58:13,,,,,,,,,,,"02:38:13 (-1)",
602,"team0305 河工二队 河南工程学院",1,02:59:38,,,,,,,,,,02:59:38,,
603,"team0478 njupt26t18 南京邮电大学",1,03:06:57,,,,,,,,03:06:57,,,(-10),
604,"team0377 青科一队 青岛科技大学",1,03:06:58,,,,,,,,"02:26:58 (-2)",,(-3),(-1),
605,"team0913 2026杭电13队 杭州电子科技大学",1,03:07:20,,,,,,,,"02:27:20 (-2)",,,(-6),
606,"team0417 HZCU03 浙大城市学院",1,03:11:20,,,,,,(-1),,"02:31:20 (-2)",,,,
607,"team0140 zfc2队 浙江金融职业学院",1,03:13:07,,,,,,,,03:13:07,,(-1),,
608,"team0677 我们是最棒的小羊 浙江科技大学",1,03:14:01,,,,,,,,,,,03:14:01,
609,"team0421 HZCU07 浙大城市学院",1,03:14:11,,,,,,,,03:14:11,,,,
610,"team0105 兰树号 山东科技大学",1,03:19:02,,,,,,,,(-9),,,"02:59:02 (-1)",
611,"team0299 鸟之诗 成都理工大学",1,03:20:05,,,,,,,,"02:40:05 (-2)",,,,
612,"team0716 一键通过 吉林大学",1,03:20:25,,,,,,,,,,"03:00:25 (-1)",(-1),
613,"team0419 HZCU05 浙大城市学院",1,03:22:06,,,,,,,,03:22:06,,(-1),,
614,"team0676 我也要AK吗 浙江科技大学",1,03:22:26,,,,,,,,03:22:26,,(-2),(-3),
615,"team0342 华侨大学境外生队 华侨大学",1,03:22:43,,,,,,(-3),,,,,"02:22:43 (-3)",
616,"team0340 意如计网2队 中国传媒大学",1,03:23:40,,,,,,,,,,,"02:43:40 (-2)",
617,"team0447 NEU_Team05 东北大学",1,03:34:28,,,,,,,,"02:54:28 (-2)",,,(-6),
618,"team0069 南苑四队 河南工程学院",1,03:38:34,(-1),(-1),(-1),,(-1),,,(-1),,,"03:18:34 (-1)",(-1)
619,"team0946 DC1队 绵阳东辰学校",1,03:38:47,,,,(-7),,(-1),,"02:58:47 (-2)",,,,
620,"team0318 华附13队 华南师范大学附属中学",1,03:39:28,,,,,,,,03:39:28,,,,
621,"team0722 坐标轴 吉林大学",1,03:39:41,,,,,,,,,,"03:19:41 (-1)",,
622,"team0139 zfc1队 浙江金融职业学院",1,03:39:53,,,,,,,,03:39:53,,,,
623,"team0027 超级地球真理部 苏州工学院",1,03:39:55,,,,,,,,"03:19:55 (-1)",,,(-3),
624,"team0683 逐码寻途 浙江科技大学",1,03:40:20,,,,,,,,03:40:20,,,,
625,"team0674 scmzu05 中南民族大学",1,03:42:03,,,,,,,,,,,03:42:03,
626,"team0302 某科学的一方通行 成都理工大学",1,03:43:00,,,,,,,,,,,03:43:00,
627,"team0995 山河15队 山河大学",1,03:43:52,,,,,,,,03:43:52,,,,
628,"team0870 SHU08 上海大学",1,03:43:57,,,,,,,,,,,03:43:57,
629,"team0271 hpu3 河南理工大学",1,03:44:50,,,,,,(-1),(-1),,,03:44:50,(-1),
630,"team0851 zafu6 浙江农林大学",1,03:45:00,,,,,,,,,,03:45:00,(-7),
631,"team0209 湘潭大学4队 湘潭大学",1,03:51:20,,,,,,,,03:51:20,,(-4),,
632,"team0366 羲和算尺 东南大学",1,03:53:58,,,,,,,,"02:53:58 (-3)",,(-1),,
633,"team0607 郑州师院1队 郑州师范学院",1,03:54:39,,,,,,,,"03:14:39 (-2)",,,,
634,"team0990 湘岚II 湖南第一师范学院",1,03:54:42,(-1),(-1),(-1),(-1),(-1),,,,(-1),03:54:42,(-2),(-2)
635,"team0460 NEU_Team18 东北大学",1,03:55:17,,,,,,(-2),,"03:15:17 (-2)",,(-1),,
636,"team0735 南昌理工学院3队 南昌理工学院",1,03:56:19,,,,,,,,,,,03:56:19,
637,"team0363 Vitality 东南大学",1,03:57:37,,,,,,,,,,"03:37:37 (-1)",,
638,"team0381 豪情在天 南阳理工学院",1,03:59:23,,,,,,,,,,(-2),03:59:23,
639,"team0190 枫落潮声起 中国传媒大学",1,04:00:54,,,,,,,,"03:20:54 (-2)",,(-1),,
640,"team0250 cuit1 成都信息工程大学",1,04:01:17,,,,(-9),,,,04:01:17,,(-2),,
641,"team0389 丽水学院6 丽水学院",1,04:03:54,,,,,,,,,,04:03:54,(-6),
642,"team0060 Ahu_Has_Underflowed 安徽大学",1,04:04:04,(-7),,,,,,,,,04:04:04,(-3),
643,"team0085 SSL04 东莞市东莞中学松山湖学校",1,04:05:59,,,,,,,,"03:45:59 (-1)",,,,
644,"team0817 nbu9 宁波大学",1,04:06:05,,,,,,,,(-1),,04:06:05,(-5),
645,"team0270 hpu2 河南理工大学",1,04:06:35,,,,,,,,,,04:06:35,(-3),
646,"team0746 Here_for_Balloons 哈尔滨工业大学（威海）",1,04:09:07,,,,,,,,(-3),,,04:09:07,
647,"team0984 保定学院1队 保定学院",1,04:09:26,,,,,,,,,,04:09:26,,
648,"team0479 njupt26t19 南京邮电大学",1,04:15:16,,,,,,,,,,,04:15:16,(-1)
649,"team0203 喝生椰就不会拿铁咯 湖南农业大学",1,04:19:33,,,,,,,,"02:59:33 (-4)",,(-1),(-1),
650,"team0375 今天也要happy哟 南昌大学",1,04:21:29,,,,,,,,(-4),,"03:21:29 (-3)",,
651,"team0238 NUIST_静默猎手 南京信息工程大学",1,04:23:27,,,,,,,,"02:43:27 (-5)",,,,
652,"team0635 新生也疯狂-12 杭州电子科技大学",1,04:23:56,,,,,,,,,,04:23:56,,
653,"team0296 红名很难吗我DXrating7000 成都理工大学",1,04:25:26,,,,,,,,04:25:26,,,,
654,"team0631 新生也疯狂-8 杭州电子科技大学",1,04:27:29,,,,,,,,"03:07:29 (-4)",,,(-7),
655,"team0331 cumt4 中国矿业大学",1,04:29:46,,,,,,(-2),,"03:29:46 (-3)",,,,
656,"team0376 南昌大学7队 南昌大学",1,04:34:37,,,,(-1),,,,"03:14:37 (-4)",,(-3),,
657,"team0050 #define_WA_AC 天津工业大学",1,04:37:00,,,,,,,,(-3),,,04:37:00,
658,"team0726 啊对对队 云南大学",1,04:39:32,,,,,,,,,,04:39:32,,
659,"team0731 帮帮我吧图灵大人 重庆大学",1,04:43:47,,,,,,,,(-2),,"04:23:47 (-1)",(-25),
660,"team0075 中航大3队 中国民航大学",1,04:45:19,,,,,,,,"03:25:19 (-4)",,(-3),(-6),
661,"team0799 三人行，必有一银 皖西学院",1,04:45:53,,,,,,,,,,"03:45:53 (-3)",,
662,"team0346 样例过了就是过了 南京理工大学",1,04:46:41,,,,,,,,"03:26:41 (-4)",,,,
663,"team0210 松弛感 武昌理工学院",1,04:51:46,,,,,,,,(-4),,,04:51:46,
664,"team0813 nbu5 宁波大学",1,04:53:24,,,,,,,,,,(-1),04:53:24,
665,"team0227 南大软院3队 南昌大学",1,04:54:51,,,,(-3),,,,"03:54:51 (-3)",,,(-1),
666,"team0048 算法三剑客 天津工业大学",1,04:56:05,,,,,,,,,,,04:56:05,
667,"team0055 泉阳泉阳泉 东北师范大学",1,04:58:47,,,,,,,,"03:38:47 (-4)",,,,
668,"team0385 H神酱味大鸡 南阳理工学院",1,05:07:16,,,,,,,,"03:27:16 (-5)",,(-2),,
669,"team0500 朱世乐/韩高臻/贺江阳 天津科技大学",1,05:12:09,,,,,,,,"04:52:09 (-1)",,,(-3),
670,"team0141 zfc3队 浙江金融职业学院",1,05:13:45,,,,,,,,,,,"04:33:45 (-2)",
671,"team0886 所有题目全部答队 山东大学",1,05:15:42,,,,,,,,"03:55:42 (-4)",,(-3),,
672,"team0634 新生也疯狂-11 杭州电子科技大学",1,05:19:27,,,,,,,,,,"04:39:27 (-2)",,
673,"team0313 华附8队 华南师范大学附属中学",1,05:22:23,,,,,,,,(-5),,"04:42:23 (-2)",(-3),
674,"team0854 zafu9 浙江农林大学",1,05:52:42,,,,,,,,"04:32:42 (-4)",,,,
675,"team0142 zfc4队 浙江金融职业学院",1,06:06:25,,,,,,,,,,,"03:46:25 (-7)",
676,"team0242 NUIST_腐化 南京信息工程大学",1,06:12:29,,(-1),,,,,,"03:32:29 (-8)",,(-2),(-5),
677,"team0497 claudecode 长江大学",1,06:38:50,,,,,,(-3),,"04:18:50 (-7)",,,,
678,"team0239 NUIST_储君 南京信息工程大学",1,06:41:05,,,,,,(-2),,,,(-4),"04:41:05 (-6)",
679,"team0833 WHL_AC 河南师范大学",1,06:41:19,,,,,,,,"04:21:19 (-7)",,(-1),(-6),
680,"team0015 DJ.皇牌梦之队 广东工业大学",1,06:55:30,,,,,,,,"04:35:30 (-7)",,,,
681,"team0597 提姆塞问 天津大学",1,06:55:34,,,,,,,,,,,"04:55:34 (-6)",
682,"team0383 再wa一发 南阳理工学院",1,07:08:31,,,,,,,,"04:28:31 (-8)",,,(-4),
683,"team0451 NEU_Team09 东北大学",1,08:45:27,,,,,,,,"04:25:27 (-13)",,,(-1),
684,"team0560 FZU5 福州大学",1,09:42:14,,,,,,,"03:42:14 (-18)",,,,,
685,"team0007 广铁一中 广州市铁一中学",0,00:00:00,,,,,,,,,,,,
686,"team0008 peach 广州市第六中学",0,00:00:00,,,,,,,,,,,,
687,"team0014 你愿意和我打一辈子acm吗 广东工业大学",0,00:00:00,,,,,,,,,,,,
688,"team0017 特殊符号 个人训练",0,00:00:00,,,,,,,,,,,,
689,"team0034 三人成行 山东理工大学",0,00:00:00,,,,,,,,,,,,
690,"team0036 说好的来旅游呢 东北师范大学",0,00:00:00,,,,,,,,,,,,
691,"team0038 华东师大二附中一队 华东师范大学第二附属中学",0,00:00:00,,,,,,,,,,,,
692,"team0051 能过样例直接交 衡水学院",0,00:00:00,,,,,,,,,,,,
693,"team0056 gokugogo 个人训练",0,00:00:00,,,,,,,,,,,,
694,"team0059 猛炫罚时中 安徽大学",0,00:00:00,,,,(-5),,,,(-4),,(-2),,
695,"team0070 南苑五队 河南工程学院",0,00:00:00,,,,,,,,(-3),,,,
696,"team0071 南苑六队 河南工程学院",0,00:00:00,,,,,,,,,,,,
697,"team0072 南苑七队 河南工程学院",0,00:00:00,,,(-1),,,,,,,,,
698,"team0077 中航大5队 中国民航大学",0,00:00:00,,,,,,,,,,,,
699,"team0084 SSL03 东莞市东莞中学松山湖学校",0,00:00:00,,,,,,,,(-2),,,(-2),
700,"team0101 正着活，反着魔 北京邮电大学",0,00:00:00,,,,,,,,,,,,
701,"team0102 丽水学院1 丽水学院",0,00:00:00,,,,,,,,(-2),,(-1),,
702,"team0103 丽水学院2 丽水学院",0,00:00:00,,,,,,,,,,,,
703,"team0108 319小分队 东北师范大学",0,00:00:00,,,,,,,,,,,,
704,"team0116 mex{fe/cu/ag} 华东师范大学",0,00:00:00,,,,,,,,,,,,
705,"team0119 闽南师大一队 闽南师范大学",0,00:00:00,,,,,,,,,,,,
706,"team0121 红烧基米饭 新疆大学",0,00:00:00,,,,,,,,,,,,
707,"team0122 山河三牢 新疆大学",0,00:00:00,,,,,,,,(-7),,,,
708,"team0124 时间复杂度 厦门大学马来西亚分校",0,00:00:00,,,,,,,,,,,,
709,"team0126 SZTU_原原 深圳技术大学",0,00:00:00,,,,,,,,,,,,
710,"team0127 SZTU_神神 深圳技术大学",0,00:00:00,,,,,,,,,,,,
711,"team0128 贵州大学 贵州大学",0,00:00:00,,,,,,,,,,,,
712,"team0135 不知道取什么名字好 香港中文大学（深圳）",0,00:00:00,,,,,,,,,,,,
713,"team0138 可燃冰红茶 河北师范大学",0,00:00:00,,,,,,,,,,,,
714,"team0146 南方科技大学4队 南方科技大学",0,00:00:00,,,,,,,,,,,,
715,"team0147 南方科技大学5队 南方科技大学",0,00:00:00,,,,,,,,,,,,
716,"team0148 南方科技大学6队 南方科技大学",0,00:00:00,,,,,,,,,,,,
717,"team0153 ZJNU-5 浙江师范大学",0,00:00:00,,,,(-7),,,,,,,(-3),
718,"team0155 咕咕嘎嘎咕咕嘎嘎 长春理工大学",0,00:00:00,,,,,,,,,,,,
719,"team0163 宁波理工4队 浙大宁波理工学院",0,00:00:00,,,,,,,,,,,,
720,"team0164 宁波理工5队 浙大宁波理工学院",0,00:00:00,,,,,,,,(-1),,,(-1),
721,"team0171 持久，五个小时不带停 个人训练",0,00:00:00,,,,,,,,,,,,
722,"team0173 中国海洋大学一队 中国海洋大学",0,00:00:00,,,,,,,,,,,,
723,"team0175 湖州师大2队 湖州师范大学",0,00:00:00,,,,,,,,,,,,
724,"team0178 雏鹰终将飞向蓝天 重庆工程学院",0,00:00:00,,,,,,,,(-9),,,(-1),
725,"team0186 遵纪守法好公民 中国传媒大学",0,00:00:00,,,,,,,,,,,,
726,"team0192 雾之湖 湖南师范大学",0,00:00:00,,,,,,,,,,,,
727,"team0194 想要成为赛码高手 佛山大学",0,00:00:00,,,,,,,,(-3),,(-7),,
728,"team0214 HITS004 哈尔滨工业大学",0,00:00:00,,,,,,,,,,,,
729,"team0216 猫猫虫小队 大连理工大学",0,00:00:00,,,,,,,,,,,,
730,"team0217 低调的黑客 大连理工大学",0,00:00:00,,,,,,,,,,,,
731,"team0218 八角楼一队 大连理工大学",0,00:00:00,,,,,,,,,,,,
732,"team0219 万业有日涅槃无枝 大连理工大学",0,00:00:00,,,,,,,,,,,,
733,"team0220 育英1队 浙江育英职业技术学院",0,00:00:00,,,,,,,,,,,,
734,"team0221 育英2队 浙江育英职业技术学院",0,00:00:00,,,,,,,,,,,(-3),
735,"team0222 育英3队 浙江育英职业技术学院",0,00:00:00,,,,,,,,,,,,
736,"team0229 Victors 四川大学",0,00:00:00,,,,,,,,,,,,
737,"team0248 我也想AC 南京农业大学",0,00:00:00,,,,,,,,,,,,
738,"team0251 cuit2 成都信息工程大学",0,00:00:00,,,,,,,,,,,,
739,"team0264 我vibe队友coding 东北大学秦皇岛分校",0,00:00:00,,,,,,,,,,,,
740,"team0267 秦汉 西藏民族大学",0,00:00:00,,,,,,,,,,,,
741,"team0268 不好好训练就完damn 南京理工大学",0,00:00:00,,,,,,(-2),,(-4),,,(-1),
742,"team0276 拼好队 中国地质大学（武汉）",0,00:00:00,,,,,,,,,,,,
743,"team0277 ACM自动寄 中国地质大学（武汉）",0,00:00:00,,,,,,,,,,,,
744,"team0281 封榜后我们将疯狂AC 南京邮电大学通达学院",0,00:00:00,,,,,,,,,,,,
745,"team0283 只为签到而来 南京邮电大学通达学院",0,00:00:00,,,,,,,,,,,,
746,"team0284 国防科大一队 国防科技大学",0,00:00:00,,,,,,,,,,,,
747,"team0285 国防科大二队 国防科技大学",0,00:00:00,,,,,,,,,,,,
748,"team0286 国防科大三队 国防科技大学",0,00:00:00,,,,,,,,,,,,
749,"team0287 国防科大四队 国防科技大学",0,00:00:00,,,,,,,,,,,,
750,"team0288 国防科大五队 国防科技大学",0,00:00:00,,,,,,,,,,,,
751,"team0289 国防科大六队 国防科技大学",0,00:00:00,,,,,,,,,,,,
